,pk,username
1,9728109403,
2,9187077833,
3,6788387162,
4,10614416785,
5,9379144072,
6,9140008663,
7,10156966304,
8,10273230732,
9,10418917974,
10,5421033991,
11,10126952236,
12,10232495008,
13,9447178645,
14,10570499925,
15,3668391740,
16,1958092410,
17,10273855475,
18,10485097216,
19,9288368342,
20,9763485162,
21,10601473577,
22,10166580155,
23,9789131629,
24,9993316548,
25,7312643851,
26,7098502558,
27,10501144526,
28,10204936074,
29,9697901877,
30,10471537902,
31,7972401709,
32,10143070006,
33,5641240166,
34,9360213025,
35,9180526820,
36,10083858307,
37,7007639773,
38,10202738948,
39,9132787275,
40,10576611227,
41,9666150236,
42,9716355056,
43,8697444309,
44,9286792366,
45,8586381405,
46,10608713188,
47,8452569984,
48,10371413926,
49,9253001785,
50,10453259637,
51,9155713805,
52,10273471597,
53,9934014271,
54,10560588378,
55,8339514126,
56,10437108779,
57,8047845551,
58,10487177355,
59,10091759858,
60,10487985372,
61,3991900084,
62,9987815794,
63,10332709235,
64,10268887787,
65,10411742590,
66,10621872260,
67,9401353701,
68,8972191339,
69,8276305524,
70,10440290741,
71,9786589518,
72,10188527759,
73,10459274276,
74,10254480269,
75,9790299274,
76,4967142128,
77,4054285247,
78,4177411493,
79,6945511715,
80,8621194721,
81,10456723445,
82,10031988664,
83,6148850260,
84,6863084298,
85,10580730192,
86,10446580152,
87,9759598614,
88,7623952637,
89,10268180695,
90,9460207677,
91,9030895041,
92,10450948024,
93,9880300623,
94,9932297773,
95,4132826138,
96,10596305994,
97,10593186408,
98,10610073085,
99,10197039292,
100,9260739687,
101,10426565233,
102,10401454398,
103,10175554594,
104,9678874943,
105,8780723361,
106,8801594411,
107,10594650336,
108,9710097866,
109,10391159739,
110,9123146098,
111,10183307395,
112,10329963835,
113,10461994825,
114,9375895972,
115,9177138276,
116,8621410477,
117,8215760727,
118,9957553382,
119,10458747058,
120,10173263244,
121,10417965826,
122,7964192649,
123,10033882155,
124,9999776941,
125,7770355777,
126,9376766249,
127,10489584578,
128,9446344597,
129,9171056685,
130,10425493094,
131,10267127913,
132,10424589148,
133,9980834589,
134,9496121746,
135,10467058441,
136,8567055353,
137,7609194322,
138,8897030460,
139,10273472974,
140,10456538509,
141,10468778361,
142,8593669312,
143,9013461991,
144,9892360387,
145,9149097959,
146,9488963879,
147,6832207572,
148,10488185314,
149,10576467215,
150,10202571508,
151,8661547144,
152,10396671477,
153,10471954411,
154,7629625889,
155,9198374162,
156,10590402267,
157,10406878775,
158,10383346187,
159,8329103201,
160,9666619901,
161,9907846067,
162,9025310843,
163,9997631513,
164,8483875588,
165,9203316031,
166,10443132391,
167,10567057897,
168,10440804381,
169,10413070495,
170,9055261558,
171,10414637719,
172,3120703948,
173,10438868546,
174,10489976916,
175,7109335035,
176,9905655065,
177,10265175227,
178,10016079205,
179,10595834032,
180,10581337684,
181,4362199580,
182,7275133047,
183,7152906581,
184,10616656029,
185,3052274660,
186,10495824736,
187,10445436216,
188,10464778001,
189,10347463009,
190,10576226850,
191,9287875212,
192,10467314725,
193,6228775585,
194,4054080207,
195,10490113049,
196,3069092736,
197,10001462382,
198,7013130402,
199,10266944149,
200,6193138172,
201,5804962883,
202,9445878460,
203,9495627889,
204,10437580703,
205,8516452908,
206,9533289684,
207,8788582858,
208,9256997580,
209,9787359301,
210,10208006455,
211,10400559127,
212,9300150796,
213,2153890928,
214,9846791255,
215,9652398373,
216,10205194909,
217,9212891944,
218,8741042477,
219,4144682436,
220,8143887921,
221,8571057047,
222,10604193663,
223,10110044563,
224,9145394338,
225,9616125483,
226,10114717028,
227,8566080027,
228,10416619708,
229,6141046312,
230,8638829516,
231,9440156031,
232,10458907127,
233,10023032032,
234,8743316403,
235,9982229253,
236,10427468748,
237,8516280442,
238,9477508916,
239,10390951526,
240,10484801603,
241,7920372905,
242,9986799432,
243,10471569787,
244,10588746672,
245,10562972288,
246,10418066688,
247,10009950050,
248,10467426383,
249,7387987689,
250,9692183872,
251,10019560938,
252,10092954196,
253,10026468085,
254,10622640128,
255,9874714479,
256,8505485196,
257,10600217690,
258,10613984073,
259,10182003443,
260,8758132502,
261,9017268509,
262,8471370975,
263,10359026042,
264,10503136011,
265,9519060906,
266,10372973731,
267,10189992464,
268,9761835737,
269,9423364086,
270,10475889533,
271,7155449556,
272,10092134415,
273,8140991800,
274,8337551871,
275,9312794146,
276,8571532320,
277,9273944307,
278,10601961675,
279,9653750168,
280,10464650232,
281,10588448426,
282,9278643729,
283,10409958693,
284,10615664701,
285,10447163734,
286,10165637061,
287,10371897538,
288,10568667884,
289,9390472373,
290,10450043640,
291,10586138587,
292,10483641535,
293,8733941747,
294,10102152614,
295,10577755450,
296,10380510928,
297,3602727441,
298,9981040064,
299,10012264089,
300,10425244956,
301,7480999757,
302,10080373206,
303,10184422974,
304,9859629608,
305,10398511332,
306,6835640863,
307,8579851649,
308,10581378537,
309,9793863371,
310,10360952586,
311,9649470976,
312,9043982764,
313,10118031371,
314,5580260046,
315,10389671019,
316,3242363673,
317,8200855050,
318,10602449668,
319,8634878639,
320,10347660785,
321,10233674678,
322,10489585230,
323,10246460909,
324,8521263108,
325,10251027651,
326,10584434772,
327,10273110483,
328,10394452850,
329,10110688082,
330,10437100558,
331,9605654448,
332,10470882352,
333,10482873548,
334,10420277901,
335,10445923648,
336,10212269055,
337,9385162021,
338,9271547902,
339,3442335480,
340,8669984083,
341,7446617372,
342,10572419518,
343,10231955869,
344,10141871680,
345,9233795678,
346,10399375229,
347,10444140300,
348,10274575466,
349,8209329291,
350,9662439463,
351,9853968973,
352,10463873405,
353,10375110426,
354,10399519118,
355,10255039940,
356,10273639262,
357,8730660364,
358,9486848173,
359,9272411724,
360,9897176728,
361,8610307143,
362,9303505310,
363,9945293368,
364,10568787880,
365,6730442668,
366,7236553804,
367,10590234593,
368,10219968436,
369,10598137783,
370,9199600943,
371,9996534980,
372,7855853042,
373,10587586658,
374,9241515117,
375,1926249277,
376,10355980194,
377,8940430905,
378,4508935616,
379,10461490932,
380,7071014702,
381,9165569756,
382,10588818284,
383,9520500920,
384,8712119073,
385,9720106205,
386,4769033936,
387,10450491645,
388,10391607491,
389,9745180151,
390,9725785208,
391,9990114987,
392,10348898310,
393,10616216801,
394,10125581910,
395,10238830058,
396,10488537136,
397,10201902524,
398,2248706939,
399,9189075527,
400,10376631877,
401,7391584167,
402,8649023136,
403,10405230963,
404,9992940626,
405,7646793995,
406,10618200711,
407,10623448086,
408,8200784365,
409,10584578134,
410,9487947831,
411,4177937384,
412,3244041857,
413,5382427485,
414,9618861195,
415,8451187413,
416,9978835393,
417,8776680924,
418,8929221987,
419,10494144689,
420,9436914746,
421,8287925751,
422,10387609379,
423,6277154133,
424,10466882565,
425,1183438788,
426,10487497212,
427,7683300728,
428,10460787168,
429,7315195120,
430,8896716224,
